country,latitude,longitude,users%,user_delta%,swl%,swl,users,non_users,user_delta,population
Albania,41,20,0.628,0.052459016,0.560970256,153.33,1823233,1080467,0.016,2903700
Algeria,28,3,0.197,0.140983607,0.63414188,173.33,7937913,32438041,0.043,40375954
Angola,-12.5,18.5,0.23,0.186885246,0.585372992,160,5951453,19879505,0.057,25830958
Antigua and Barbuda,17.05,-61.8,0.65,0.059016393,0.902462225,246.67,60306,32432,0.018,92738
Argentina,-34,-64,0.692,0.101639344,0.829290601,226.67,30359855,13487422,0.031,43847277
Armenia,40,45,0.499,0.085245902,0.45121282,123.33,1510906,1515142,0.026,3026048
Australia,-27,133,0.851,0.055737705,0.890242564,243.33,20679490,3629840,0.017,24309330
Austria,47.3333,13.3333,0.811,0.009836066,0.951231113,260,6953400,1616233,0.003,8569633
Azerbaijan,40.5,47.5,0.611,0.039344262,0.597556068,163.33,6027647,3840800,0.012,9868447
Bahrain,26,50.55,0.915,0.055737705,0.878059489,240,1278752,118077,0.017,1396829
Bangladesh,24,90,0.132,0.340983607,0.695130428,190,21439070,141471794,0.104,162910864
Barbados,13.1667,-59.5333,0.803,0.055737705,0.890242564,243.33,228717,56289,0.017,285006
Belarus,53,28,0.61,0.029508197,0.487798632,133.33,5786572,3694949,0.009,9481521
Belgium,50.8333,4,0.885,0.062295082,0.890242564,243.33,10060745,1311183,0.019,11371928
Belize,17.25,-88.75,0.45,0.219672131,0.841473677,230,165014,201928,0.067,366942
Benin,9.5,2.25,0.056,0.147540984,0.658544616,180,628683,10537975,0.045,11166658
Bhutan,27.5,90.5,0.369,0.11147541,0.926828376,253.33,289177,494926,0.034,784103
Bolivia,-17,-65,0.411,0.101639344,0.670727692,183.33,4478400,6410002,0.031,10888402
Bosnia and Herzegovina,44,18,0.616,0.006557377,0.621958804,170,2343255,1458879,0.002,3802134
Botswana,-22,24,0.214,0.203278689,0.658544616,180,492787,1811033,0.062,2303820
Brazil,-10,-55,0.664,0.167213115,0.768302052,210,139111185,70456735,0.051,209567920
Brunei,4.5,114.6667,0.723,0.095081967,0.926828376,253.33,310205,118669,0.029,428874
Bulgaria,43,25,0.585,0.029508197,0.524384444,143.33,4155050,2942746,0.009,7097796
Burkina Faso,13,-2,0.102,0.229508197,0.573189917,156.67,1894498,16739227,0.07,18633725
Burundi,-3.5,30,0.015,0.167213115,0.36585812,100,167512,11385049,0.051,11552561
Cambodia,13,105,0.111,0.259016393,0.682947353,186.67,1756824,14070417,0.079,15827241
Cameroon,6,12,0.18,0.540983607,0.621958804,170,4311178,19613229,0.165,23924407
Canada,60,-95,0.885,0.059016393,0.926828376,253.33,32120519,4165859,0.018,36286378
Central African Republic,7,21,0.045,0.173770492,0.597556068,163.33,224432,4774061,0.053,4998493
Chad,15,19,0.027,0.180327869,0.54878718,150,387063,14109676,0.055,14496739
Chile,-30,-71,0.778,0.108196721,0.792704789,216.67,14108392,4023458,0.033,18131850
China,35,105,0.522,0.072131148,0.768302052,210,721434547,660888785,0.022,1382323332
Colombia,4,-72,0.569,0.160655738,0.878059489,240,27664747,20989645,0.049,48654392
Comoros,-12.1667,44.25,0.073,0.127868852,0.719533165,196.67,59242,747876,0.039,807118
Costa Rica,10,-84,0.564,0.163934426,0.914645301,250,2738500,2118718,0.05,4857218
C™te d'Ivoire,8,-5,0.22,0.468852459,0.54878718,150,5122897,18131287,0.143,23254184
Croatia,45.1667,15.5,0.742,0.118032787,0.719533165,196.67,3133485,1091516,0.036,4225001
Cuba,21.5,-80,0.324,0.131147541,0.768302052,210,3696765,7696124,0.04,11392889
Cyprus,35,33,0.718,0.06557377,0.841473677,230,844680,331918,0.02,1176598
Czech Republic,49.75,15.5,0.884,0.104918033,0.780485128,213.33,9323428,1224630,0.032,10548058
Denmark,56,10,0.963,0.016393443,0.853656752,233.33,5479054,211696,0.005,5690750
Djibouti,11.5,43,0.117,0.131147541,0.585372992,160,105163,794435,0.04,899598
Dominica,15.4167,-61.3333,0.661,0.06557377,0.890242564,243.33,48249,24767,0.02,73016
Dominican Republic,19,-70.6667,0.518,0.081967213,0.853656752,233.33,5513852,5134761,0.025,10648613
Ecuador,-2,-77.5,0.431,0.049180328,0.682947353,186.67,7055575,9329875,0.015,16385450
Egypt,27,30,0.33,0.108196721,0.585372992,160,30835256,62548318,0.033,93383574
El Salvador,13.8333,-88.9167,0.383,0.255737705,0.804887864,220,2352849,3793570,0.078,6146419
Equatorial Guinea,2,10,0.209,0.2,0.63414188,173.33,181657,687930,0.061,869587
Eritrea,15,39,0.011,0.157377049,0.536604105,146.67,56728,5294952,0.048,5351680
Estonia,59,26,0.914,0.072131148,0.621958804,170,1196521,112583,0.022,1309104
Ethiopia,8,38,0.042,0.439344262,0.573189917,156.67,4288023,97565245,0.134,101853268
Fiji,-18,175,0.468,0.131147541,0.81707094,223.33,419958,477579,0.04,897537
Finland,64,26,0.925,0.013114754,0.939048037,256.67,5107402,416502,0.004,5523904
France,46,2,0.864,0.045901639,0.804887864,220,55860330,8807799,0.014,64668129
Gabon,-1,11.75,0.103,0.127868852,0.756118977,206.67,182309,1580833,0.039,1763142
Georgia,42,43.5,0.529,0.062295082,0.500018293,136.67,2104906,1874875,0.019,3979781
Germany,51,9,0.88,0.019672131,0.878059489,240,71016605,9665746,0.006,80682351
Ghana,8,-2,0.284,0.459016393,0.756118977,206.67,7958675,20074700,0.14,28033375
Greece,39,22,0.648,0.013114754,0.768302052,210,7072534,3846925,0.004,10919459
Grenada,12.1167,-61.6667,0.388,0.052459016,0.792704789,216.67,41675,65652,0.016,107327
Guatemala,15.5,-90.25,0.265,0.190163934,0.853656752,233.33,4409997,12262959,0.058,16672956
Guinea,11,-10,0.018,0.154098361,0.621958804,170,236932,12710190,0.047,12947122
Guinea-Bissau,12,-15,0.035,0.13442623,0.658544616,180,66284,1822145,0.041,1888429
Guyana,5,-59,0.396,0.072131148,0.878059489,240,305007,465603,0.022,770610
Haiti,19,-72.4167,0.121,0.098360656,0.670727692,183.33,1308290,9539885,0.03,10848175
Honduras,15,-86.5,0.215,0.163934426,0.878059489,240,1757467,6432034,0.05,8189501
Hong Kong,22.25,114.1667,0.741,0.019672131,0.804887864,220,5442101,1904147,0.006,7346248
Hungary,47,20,0.802,0.039344262,0.695130428,190,7874733,1946585,0.012,9821318
Iceland,65,-18,1,0.029508197,0.951231113,260,331778,0,0.009,331778
India,20,77,0.348,1,0.658544616,180,462124989,864676587,0.305,1326801576
Indonesia,-5,120,0.204,0.213114754,0.804887864,220,53236719,207344381,0.065,260581100
Iran,32,53,0.489,0.252459016,0.73171624,200,39149103,40894043,0.077,80043146
Ireland,53,-8,0.81,0.032786885,0.926828376,253.33,3817392,896601,0.01,4713993
