% Web Users ,Life Satisfaction
62.78999208,153.33
19.6600011,173.33
23.04000107,160
65.02835946,246.67
69.24000092,226.67
49.93000772,123.33
85.06811994,243.33
81.13999748,260
61.07999567,163.33
91.54678203,240
13.16000018,190
80.24988948,243.33
61.02999719,133.33
88.47000262,243.33
44.97004976,230
5.630001384,180
36.87997623,253.33
41.13000236,183.33
61.62999516,170
21.38999575,180
66.37999986,210
72.33010161,253.33
58.54000312,143.33
10.16703853,156.67
1.449998836,100
11.10000157,186.67
18.01999941,170
88.51949621,253.33
4.489993284,163.33
2.670000474,150
77.80999733,216.67
52.19,210
56.85971166,240
7.339942858,196.67
56.38001012,250
22.03000114,150
74.16530789,196.67
32.44800331,210
71.79002514,230
88.38999558,213.33
96.27999824,233.33
11.68999931,160
66.08003725,243.33
51.78000177,233.33
43.0600014,186.67
33.01999986,160
38.27999686,220
20.8900317,173.33
1.060003588,146.67
91.39999572,170
4.21000041,156.67
46.79004877,223.33
92.46000655,256.67
86.38000026,220
10.34000665,206.67
52.88999571,136.67
88.01999957,240
28.38999942,206.67
64.77000372,210
38.82993096,216.67
26.45000083,233.33
1.829997431,170
3.510007525,180
39.57994316,240
12.06000088,183.33
21.46000104,240
74.08000656,220
80.18000232,190
100,260
34.83000001,180
20.4300001,220
48.91000036,200
80.98000994,253.33
72.51999795,223.33
65.56999946,230
43.37998446,273.33
91.12429523,206.67
45.65000387,170
55.79000149,193.33
44.97000081,186.67
79.9099908,240
34.41000144,220
15.71999577,180
76.28567572,156.67
75.89998118,186.67
20.57002031,143.33
21.10065482,190
77.18999449,156.67
95.23881418,253.33
4.279999271,193.33
6.540002139,153.33
68.58431961,246.67
53.55991693,220
12.20000072,176.67
79.6101188,250
17.1400058,176.67
42.51001402,216.67
45.10308103,230
47.90000251,116.67
35.58000748,223.33
57.63999924,186.67
6.380000363,180
2.489999435,176.67
15.59999857,216.67
17.19999888,183.33
93.7298587,250
89.35000444,246.67
19.4200033,210
2.119999797,150
46.10999984,183.33
98.01999561,246.67
71.12000483,243.33
17.81,143.33
45.18991301,240
11.65999988,210
46.83000195,216.67
41.03000152,186.67
43.50000014,213.33
72.35000004,196.67
67.25999701,203.33
92.03977711,233.33
58.00000145,173.33
71.28999984,143.33
12.43999924,146.67
66.2299984,246.67
58.68024444,233.33
28.9801206,230
25.55995679,223.33
64.72327828,243.33
23.39999686,186.67
57.88963783,246.67
2.429998808,166.67
82.49274204,230
82.46999955,180
72.02016854,220
9.820080883,230
51.98410001,190
82.19999894,233.33
29.25000154,203.33
26.4399999,120
42.26000256,243.33
27.83002048,140
93.07595161,256.67
87.14999755,273.33
29.64000238,170
18.72000391,203.33
5.249999397,183.33
42.66999991,216.67
7.270003213,163.33
46.59963522,220
69.06458956,230
48.10999699,213.33
58.01999953,176.67
14.50999969,133.33
92.56999988,236.67
88.52999996,246.67
18.96000046,156.67
44.09717757,120
91.89000376,246.67
65.01001286,210
50.99999848,213.33
30.60006655,246.67
57.91564763,246.67
51.95000011,203.33
24.64999854,206.67
18.94999752,163.33
21.01999711,110
